[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
 22 1286 0 0
 23 1287 0 0
 24 1293 0 0
 25 1289 0 0
 26 1295 0 0
 27 1287 0 0
 28 1291 0 0
 29 1291 0 0
 30 1293 0 0
 31 1293 0 0
 32 1291 0 0
 33 1294 0 0
 34 1292 0 0
 35 1290 0 0
 36 1294 0 0
 37 1292 0 0
 38 1296 0 0
 39 1289 0 0
 40 1296 0 0
 41 1291 0 0
 42 1292 0 0
 43 1292 0 0
 44 1297 0 0
 45 1292 0 0
 46 1298 0 0
 47 1291 0 0
 48 1296 0 0
 49 1290 0 0
 50 1296 0 0
 51 1294 0 0
 52 1287 0 0
 53 1298 0 0
 54 1297 0 0
 55 1287 0 0
 56 1297 0 0
 57 1291 0 0
 58 1297 0 0
 59 1294 0 0
 60 1291 0 0
 61 1292 0 0
 62 1296 0 0
 63 1292 0 0
 64 1300 0 0
 65 1298 0 0
 66 1291 0 0
 67 1294 0 0
 68 1297 0 0
 69 1290 0 0
 70 1294 0 0
 71 1296 0 0
 72 1296 0 0
 73 1293 0 0
 74 1294 0 0
 75 1293 0 0
 76 1300 0 0
 77 1293 0 0
 78 1290 0 0
 79 1296 0 0
 80 1296 0 0
 81 1293 0 0
 82 1294 0 0
 83 1293 0 0
 84 1292 0 0
 85 1297 0 0
 86 1296 0 0
 87 1292 0 0
 88 1296 0 0
 89 1301 0 0
 90 1300 0 0
 91 1298 0 0
 92 1292 0 0
 93 1286 0 0
 94 1298 0 0
 95 1291 0 0
 96 1296 0 0
 97 1295 0 0
 98 1300 0 0
 99 1296 0 0
 100 1295 0 0
 101 1296 0 0
 102 1301 0 0
 103 1294 0 0
 104 1300 0 0
 105 1292 0 0
 106 1298 0 0
 107 1294 0 0
 108 1291 0 0
 109 1300 0 0
 110 1290 0 0
 111 1290 0 0
 112 1298 0 0
 113 1288 0 0
 114 1296 0 0
 115 1293 0 0
 116 1295 0 0
 117 1291 0 0
 118 1296 0 0
 119 1293 0 0
 120 1298 0 0
 121 1291 0 0
 122 1289 0 0
 123 1294 0 0
 124 1294 0 0
 125 1292 0 0
 126 1292 0 0
 127 1296 0 0
 128 1296 0 0
 129 1292 0 0
 130 1299 0 0
 131 1293 0 0
 132 1299 0 0
 133 1291 0 0
 134 1293 0 0
 135 1296 0 0
 136 1292 0 0
 137 1291 0 0
 138 1298 0 0
 139 1296 0 0
 140 1298 0 0
 141 1292 0 0
 142 1302 0 0
 143 1288 0 0
 144 1295 0 0
 145 1294 0 0
 146 1296 0 0
 147 1291 0 0
 148 1295 0 0
 149 1293 0 0
 150 1303 0 0
 151 1287 0 0
 152 1288 0 0
 153 1288 0 0
 154 1292 0 0
 155 1289 0 0
 156 1296 0 0
 157 1286 0 0
 158 1292 0 0
 159 1293 0 0
 160 1298 0 0
 161 1288 0 0
 162 1290 0 0
 163 1289 0 0
 164 1295 0 0
 165 1291 0 0
 166 1294 0 0
 167 1291 0 0
 168 1292 0 0
 169 1292 0 0
 170 1290 0 0
 171 1285 0 0
 172 1291 0 0
 173 1288 0 0
 174 1293 0 0
 175 1292 0 0
 176 1295 0 0
 177 1292 0 0
 178 1297 0 0
 179 1288 0 0
 180 1299 0 0
 181 1290 0 0
 182 1289 0 0
 183 1291 0 0
 184 1290 0 0
 185 1289 0 0
 186 1292 0 0
 187 1287 0 0
 188 1293 0 0
 189 1294 0 0
 190 1291 0 0
 191 1291 0 0
 192 1291 0 0
 193 1293 0 0
 194 1292 0 0
 195 1285 0 0
 196 1296 0 0
 197 1289 0 0
 198 1291 0 0
 199 1282 0 0
 200 1293 0 0
 201 1292 0 0
 202 1288 0 0
 203 1288 0 0
 204 1290 0 0
 205 1290 0 0
 206 1293 0 0
 207 1286 0 0
 208 1286 0 0
 209 1289 0 0
 210 1294 0 0
 211 1288 0 0
 212 1295 0 0
 213 1290 0 0
 214 1293 0 0
 215 1287 0 0
 216 1287 0 0
 217 1290 0 0
 218 1293 0 0
 219 1291 0 0
 220 1292 0 0
 221 1289 0 0
 222 1288 0 0
 223 1290 0 0
 224 1285 0 0
 225 1286 0 0
 226 1291 0 0
 227 1287 0 0
 228 1289 0 0
 229 1282 0 0
 230 1288 0 0
 231 1290 0 0
 232 1290 0 0
 233 1290 0 0
 234 1289 0 0
 235 1292 0 0
 236 1297 0 0
 237 1283 0 0
 238 1293 0 0
 239 1293 0 0
 240 1291 0 0
 241 1288 0 0
 242 1293 0 0
 243 1291 0 0
 244 1292 0 0
 245 1293 0 0
 246 1294 0 0
 247 1290 0 0
 248 1288 0 0
 249 1294 0 0
 250 1298 0 0
 251 1286 0 0
 252 1294 0 0
 253 1289 0 0
 254 1292 0 0
 255 1296 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-41-01_000_014
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:41:01
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8586
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_09-33-02_217_812
IDDataCal = DLAB_2018-04-12_15-39-16_217_235
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $03 Intensity mW/(m^2 nm Sr)
